GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
studybuddy,org.javawavers.studybuddy.ui_ux,SceneManager,14,0,0,0,6,0,2,0,2,0
studybuddy,org.javawavers.studybuddy.ui_ux,MenuPage,863,0,18,0,184,0,34,0,25,0
studybuddy,org.javawavers.studybuddy.ui_ux,HomePage,436,0,2,0,83,0,7,0,6,0
studybuddy,org.javawavers.studybuddy.ui_ux,Popupdiathesimotita,361,0,8,0,95,0,11,0,7,0
studybuddy,org.javawavers.studybuddy.ui_ux,RightPanel,146,0,0,0,34,0,4,0,4,0
studybuddy,org.javawavers.studybuddy.ui_ux,AvailabilityPage,695,0,24,0,140,0,29,0,17,0
studybuddy,org.javawavers.studybuddy.ui_ux,RegisterPage,1280,0,26,0,268,0,31,0,18,0
studybuddy,org.javawavers.studybuddy.ui_ux,MainFrame,72,0,0,0,19,0,2,0,2,0
studybuddy,org.javawavers.studybuddy.ui_ux,AssignmentPage,654,0,18,0,143,0,30,0,21,0
studybuddy,org.javawavers.studybuddy.ui_ux,ExamPage,708,0,22,0,154,0,29,0,18,0
studybuddy,org.javawavers.studybuddy.ui_ux,DashboardPage,299,0,4,0,50,0,9,0,7,0
studybuddy,org.javawavers.studybuddy.ui_ux,Calendar,835,0,26,0,186,0,26,0,13,0
studybuddy,org.javawavers.studybuddy.ui_ux,CenterPanelManager,109,0,6,0,24,0,8,0,3,0
studybuddy,org.javawavers.studybuddy.ui_ux,LoginPage,902,0,12,0,198,0,21,0,15,0
studybuddy,org.javawavers.studybuddy.database,SQLiteConnection,63,0,2,0,29,0,5,0,4,0
studybuddy,org.javawavers.studybuddy.graphs,SummaryBoxCalc,257,0,46,0,66,0,29,0,6,0
studybuddy,org.javawavers.studybuddy.graphs,SubjDistributionCalc,57,0,6,0,13,0,6,0,3,0
studybuddy,org.javawavers.studybuddy.graphs,ProgressCalculator,227,0,24,0,56,0,16,0,4,0
studybuddy,org.javawavers.studybuddy.graphs,TaskProgess,278,0,30,0,57,0,22,0,7,0
studybuddy,org.javawavers.studybuddy,StudyBuddyApp,57,0,0,0,17,0,3,0,3,0
studybuddy,org.javawavers.studybuddy,GitLabTes,7,0,0,0,3,0,2,0,2,0
studybuddy,org.javawavers.studybuddy.calculations,Week,17,0,0,0,5,0,3,0,3,0
studybuddy,org.javawavers.studybuddy.calculations,Availability,259,0,38,0,67,0,31,0,9,0
studybuddy,org.javawavers.studybuddy.calculations,ScheduleResult,21,0,0,0,8,0,4,0,4,0
studybuddy,org.javawavers.studybuddy.calculations,SimulateAnnealing,288,0,24,0,76,0,26,0,14,0
studybuddy,org.javawavers.studybuddy.calculations,PrintSchedule,58,0,10,0,13,0,7,0,2,0
studybuddy,org.javawavers.studybuddy.calculations,CreateWeekDay,175,0,16,0,42,0,12,0,4,0
studybuddy,org.javawavers.studybuddy.calculations,PrintWeeks,66,0,8,0,17,0,6,0,2,0
studybuddy,org.javawavers.studybuddy.calculations,TaskAssignment,265,0,46,0,71,0,30,0,7,0
studybuddy,org.javawavers.studybuddy.calculations,Repetition.RepetitionTask,23,0,0,0,10,0,5,0,5,0
studybuddy,org.javawavers.studybuddy.calculations,Dates,211,0,28,0,53,0,23,0,9,0
studybuddy,org.javawavers.studybuddy.calculations,Repetition,175,0,22,0,31,0,14,0,3,0
studybuddy,org.javawavers.studybuddy.calculations,CalculativeAlgorithm,41,0,0,0,9,0,7,0,7,0
studybuddy,org.javawavers.studybuddy.calculations,Validate,317,0,52,0,62,0,32,0,6,0
studybuddy,org.javawavers.studybuddy.calculations,Day,17,0,0,0,5,0,3,0,3,0
studybuddy,org.javawavers.studybuddy.calculations,MainTest,142,0,2,0,28,0,3,0,2,0
studybuddy,org.javawavers.studybuddy.calculations,Task,114,0,20,0,34,0,18,0,7,0
studybuddy,org.javawavers.studybuddy.calculations,SubjectTest,27,0,0,0,10,0,5,0,5,0
studybuddy,org.javawavers.studybuddy.calculations,Scoring,196,0,38,0,32,0,21,0,2,0
studybuddy,org.javawavers.studybuddy.courses,Subject.SubjectType,27,0,0,0,5,0,1,0,1,0
studybuddy,org.javawavers.studybuddy.courses,StaticUser,3,5,0,0,1,1,1,1,1,1
studybuddy,org.javawavers.studybuddy.courses,ScheduledTask.TaskStatus,27,0,0,0,5,0,1,0,1,0
studybuddy,org.javawavers.studybuddy.courses,Subject,103,25,2,0,34,8,15,3,14,3
studybuddy,org.javawavers.studybuddy.courses,User,243,124,0,0,63,32,26,12,26,12
studybuddy,org.javawavers.studybuddy.courses,Exam,200,9,18,0,55,3,24,1,15,1
studybuddy,org.javawavers.studybuddy.courses,Assignment,99,33,12,2,29,8,20,2,13,2
studybuddy,org.javawavers.studybuddy.courses,Subject.StudyGoal,21,0,0,0,4,0,1,0,1,0
studybuddy,org.javawavers.studybuddy.courses,ScheduledTask,142,0,12,0,41,0,24,0,18,0
studybuddy,org.javawavers.studybuddy.courses,SubjectElement,63,9,10,0,16,4,11,1,6,1
